qid,reference_answer,confidence,short_reason summary
reg_a_001,AC,high,差异报告30个工作日且较高风险以上存量6个月
reg_a_002,ABC,high,资料保存10年重大差异30个工作日且反洗钱信息保密
reg_a_003,A,medium,上市公司受益所有人需留存照片且高敏数据终端存储受限
reg_a_004,ABC,high,董高变动7日重大差异30个工作日撤并分支提前30日
reg_a_005,ABC,high,同机构调任10日报告上市公司留存照片收费调整提前30日
reg_a_006,A,medium,较高风险以上存量6个月且定期报告未经董事会不得披露
reg_a_007,ACD,high,新办法2026施行废旧规第三方高风险不得依托保单贷款1万元以上核身
reg_a_008,A,high,银行卡清算董高停止任职7日报告
reg_a_009,BD,high,核心数据提供前风险评估且安全事件补救可从轻减轻
reg_a_010,B,high,无法尽调应提交可疑交易报告而非大额交易报告
reg_a_011,ACD,medium,年度报告需董事会审议保险退保1万元核身调查未结保存至结束
reg_a_012,ABD,medium,治理文件须合规退市风险需披露原因董事候选人会前披露
reg_a_013,A,medium,董事候选人会前披露且半年度报告经董事会审议后披露
reg_a_014,ABD,high,股东会审议董事会报告披露董事候选人并审议募集资金变更
reg_a_015,C,high,具备分红条件不现金分红应充分披露原因
reg_a_016,ABD,medium,董事候选人会前披露不分红披露原因审计未勤勉可处罚
reg_a_017,ABC,medium,治理文件须符合准则董事候选人会前披露时效取决连续状态
reg_a_018,A,high,定期报告需董事会审议且证券公司行政处罚会扣分
reg_a_019,AB,medium,分类监管2025年8月22日施行且重组披露应含关联交易
reg_a_020,ABD,high,半年度报告需董事会审议未经不得披露分类规定2025年8月22日施行
res_a_001,ABCD,medium,信创规模与银保增速等表述匹配
res_a_002,C,high,ICT市场预测为8894.3亿美元
res_a_003,A,medium,RFID复合增速14.1%高于韩国银保增速
res_a_004,A,high,芯原主营芯片定制和IP授权
res_a_005,ABC,medium,服务零售和收入增速及银保占比获支持
res_a_006,A,high,杠杆上升且自有资产净利率下降
res_a_007,ABC,low,底座规则和信创规模获支持但题包证据缺失
res_a_008,A,medium,内置检测规则超过1000条
res_a_009,ABC,high,韩国银保和检测规则及欧盟份额均支持
res_a_010,A,high,新成立91.1亿份且主动56.3亿份
res_a_011,ABC,medium,杠杆规则和净利率表述成立
res_a_012,AB,medium,芯原服务和检测规则支持
res_a_013,B,high,2786亿元和30.2%对应美国2024年
res_a_014,ABC,medium,服务零售客户类型和收入增速支持
res_a_015,A,low,上市险企利润数据最符合可见金融机构线索
res_a_016,ABC,medium,服务零售银行手续费和收入增速获支持
res_a_017,ABD,medium,信创规模高储蓄和收入放缓支持
res_a_018,A,high,渗透率51.5%且宁德份额25%
res_a_019,AB,medium,六氟估值和油价化工品回落获支持
res_a_020,A,high,IPnest统计2024年IP授权份额
