qid,domain,answer_format,answer,primary_stage,stop_reason,supported_count,unknown_count,evidence_count,dup_evidence_slots,non_original_quotes,retrieval_quality,missing_gold_docs
fin_a_012,financial_reports,multi,BCD,ok,two_round_a_leaderboard,0,0,35,0,0,,"annual_byd_2025_report,annual_chinamobile_2025_report"
fin_a_013,financial_reports,tf,A,ok,round1_resolved,0,0,20,0,0,,"annual_byd_2025_report,annual_catl_2024_report"
fin_a_014,financial_reports,multi,B,judgement,two_round_a_leaderboard,0,0,28,0,0,,"annual_byd_2025_report,annual_catl_2025_report"
fin_a_015,financial_reports,mcq,B,ok,review_local_rejudge_a_leaderboard,0,0,21,0,0,,"annual_catl_2024_report,annual_chinamobile_2025_report"
fin_a_016,financial_reports,multi,ABD,ok,round1_resolved,0,0,20,0,0,,"annual_catl_2024_report,annual_midea_2025_report"
fin_a_017,financial_reports,multi,AC,ok,round1_resolved,0,0,20,0,0,,"annual_catl_2024_report,annual_cscec_2024_report"
fin_a_018,financial_reports,tf,A,ok,round1_resolved,0,0,20,0,0,,"annual_catl_2025_report,annual_midea_2025_report"
fin_a_019,financial_reports,multi,AB,ok,round1_resolved,0,0,20,0,0,,"annual_catl_2025_report,annual_midea_2024_report"
fin_a_020,financial_reports,multi,B,judgement,two_round_a_leaderboard,0,0,31,0,0,,"annual_catl_2025_report,annual_chinamobile_2025_report"
ins_a_001,insurance,mcq,B,parse_or_chunk,round1_resolved,0,0,20,0,0,,"1,2,15,16"
ins_a_002,insurance,mcq,A,parse_or_chunk,round1_resolved,0,0,20,0,0,,"1,2,16"
ins_a_003,insurance,mcq,D,judgement,two_round_a_leaderboard,0,0,26,0,0,,"3,5,6"
ins_a_004,insurance,mcq,A,ok,round1_resolved,0,0,20,0,0,,"4,5,6,12"
ins_a_005,insurance,multi,ABCD,ok,two_round_a_leaderboard,0,0,25,0,0,,"1,4,7,13"
ins_a_006,insurance,mcq,C,parse_or_chunk,round1_resolved,0,0,20,0,0,,"5,6"
ins_a_007,insurance,multi,BC,judgement,two_round_a_leaderboard,0,0,21,0,0,,"1,2,16"
ins_a_008,insurance,multi,AC,ok,two_round_a_leaderboard,0,0,23,0,0,,"3,4,5"
ins_a_009,insurance,multi,C,ok,two_round_a_leaderboard,0,0,24,0,0,,"7,8,9"
ins_a_010,insurance,multi,AB,ok,two_round_a_leaderboard,0,0,25,0,0,,"1,2,4,16"
ins_a_011,insurance,multi,BC,ok,round1_resolved,0,0,20,0,0,,"3,5,6,8"
ins_a_012,insurance,multi,A,ok,two_round_a_leaderboard,0,0,22,0,0,,"2,6,11,14"
ins_a_013,insurance,mcq,A,ok,round1_resolved,0,0,20,0,0,,"1,15,16"
ins_a_014,insurance,multi,AB,ok,two_round_a_leaderboard,0,0,26,0,0,,"4,5,7,8"
ins_a_015,insurance,multi,AB,ok,two_round_a_leaderboard,0,0,22,0,0,,"1,4,7,13"
ins_a_016,insurance,multi,CD,ok,two_round_a_leaderboard,0,0,20,0,0,,"5,6,9,10"
ins_a_017,insurance,multi,ABCD,ok,two_round_a_leaderboard,0,0,25,0,0,,"2,3,8,11"
ins_a_018,insurance,multi,BCD,ok,two_round_a_leaderboard,0,0,22,0,0,,"3,4,5,6"
ins_a_019,insurance,multi,AB,ok,two_round_a_leaderboard,0,0,21,0,0,,"1,2,4,16"
ins_a_020,insurance,mcq,D,ok,two_round_a_leaderboard,0,0,20,0,0,,"5,6,12"
reg_a_001,regulatory,multi,AC,ok,two_round_a_leaderboard,0,0,22,0,0,,"strict_v3_008_中国人民银行令〔2025〕第12号（金融机构客户受益所有人识别管理办法）,strict_v3_009_中国人民银行_国家金融监督管理总局_中国证券监督管理委员会令〔2025〕第11号（金融机构客户尽职调查和客户身份资料及交易记录保存管理办法）"
reg_a_002,regulatory,multi,ABC,ok,round1_resolved,0,0,20,0,0,,"strict_v3_008_中国人民银行令〔2025〕第12号（金融机构客户受益所有人识别管理办法）,strict_v3_017_中华人民共和国反洗钱法"
reg_a_003,regulatory,tf,A,ok,round1_resolved,0,0,20,0,0,,"strict_v3_008_中国人民银行令〔2025〕第12号（金融机构客户受益所有人识别管理办法）,strict_v3_015_中国人民银行令〔2025〕第3号（中国人民银行业务领域数据安全管理办法）"
reg_a_004,regulatory,multi,ABC,ok,two_round_a_leaderboard,0,0,22,0,0,,"strict_v3_008_中国人民银行令〔2025〕第12号（金融机构客户受益所有人识别管理办法）,strict_v3_016_中国人民银行_国家金融监督管理总局令〔2025〕第2号（银行卡清算机构管理办法）"
reg_a_005,regulatory,multi,ABC,ok,round1_resolved,0,0,20,0,0,,"strict_v3_008_中国人民银行令〔2025〕第12号（金融机构客户受益所有人识别管理办法）,strict_v3_018_中国人民银行令〔2024〕第4号（非银行支付机构监督管理条例实施细则）"
reg_a_006,regulatory,tf,A,ok,round1_resolved,0,0,20,0,0,,"csrc_0009_att1,strict_v3_008_中国人民银行令〔2025〕第12号（金融机构客户受益所有人识别管理办法）"
reg_a_007,regulatory,multi,ACD,ok,round1_resolved,0,0,20,0,0,,"strict_v3_009_中国人民银行_国家金融监督管理总局_中国证券监督管理委员会令〔2025〕第11号（金融机构客户尽职调查和客户身份资料及交易记录保存管理办法）,strict_v3_017_中华人民共和国反洗钱法"
reg_a_008,regulatory,mcq,A,ok,two_round_a_leaderboard,0,0,23,0,0,,"strict_v3_009_中国人民银行_国家金融监督管理总局_中国证券监督管理委员会令〔2025〕第11号（金融机构客户尽职调查和客户身份资料及交易记录保存管理办法）,strict_v3_016_中国人民银行_国家金融监督管理总局令〔2025〕第2号（银行卡清算机构管理办法）"
reg_a_009,regulatory,multi,ABD,ok,round1_resolved,0,0,20,0,0,,"strict_v3_009_中国人民银行_国家金融监督管理总局_中国证券监督管理委员会令〔2025〕第11号（金融机构客户尽职调查和客户身份资料及交易记录保存管理办法）,strict_v3_015_中国人民银行令〔2025〕第3号（中国人民银行业务领域数据安全管理办法）"
reg_a_010,regulatory,tf,B,ok,round1_resolved,0,0,20,0,0,,"strict_v3_009_中国人民银行_国家金融监督管理总局_中国证券监督管理委员会令〔2025〕第11号（金融机构客户尽职调查和客户身份资料及交易记录保存管理办法）,strict_v3_018_中国人民银行令〔2024〕第4号（非银行支付机构监督管理条例实施细则）"
reg_a_011,regulatory,multi,ACD,ok,two_round_a_leaderboard,0,0,28,0,0,,"csrc_0038_att1,strict_v3_009_中国人民银行_国家金融监督管理总局_中国证券监督管理委员会令〔2025〕第11号（金融机构客户尽职调查和客户身份资料及交易记录保存管理办法）"
reg_a_012,regulatory,multi,ABD,ok,two_round_a_leaderboard,0,0,25,0,0,,"csrc_0023_att1,csrc_0038_att1"
reg_a_013,regulatory,tf,A,ok,review_local_rejudge_a_leaderboard,0,0,24,0,0,,"csrc_0023_att1,csrc_0037_att1"
reg_a_014,regulatory,multi,ABD,ok,round1_resolved,0,0,20,0,0,,"csrc_0023_att1,csrc_0035_att1"
reg_a_015,regulatory,mcq,C,ok,round1_resolved,0,0,20,0,0,,"csrc_0009_att1,csrc_0023_att1"
reg_a_016,regulatory,multi,ABD,parse_or_chunk,two_round_a_leaderboard,0,0,25,0,0,,"csrc_0023_att1,csrc_0271"
reg_a_017,regulatory,multi,ABC,parse_or_chunk,two_round_a_leaderboard,0,0,27,0,0,,"csrc_0023_att1,csrc_0262"
reg_a_018,regulatory,tf,A,ok,round1_resolved,0,0,20,0,0,,"csrc_0009_att1,csrc_0027_att1"
reg_a_019,regulatory,multi,ABD,parse_or_chunk,round1_resolved,0,0,20,0,0,,"csrc_0027_att1,csrc_0377"
reg_a_020,regulatory,multi,ABD,ok,round1_resolved,0,0,20,0,0,,"csrc_0027_att1,csrc_0037_att1"
res_a_001,research,multi,ABC,ok,round1_resolved,0,0,20,0,0,,"pack2_text01,pack2_text17"
res_a_002,research,multi,AC,judgement,two_round_a_leaderboard,0,0,28,0,0,,"pack2_text01,pack2_text11"
res_a_003,research,tf,A,ok,round1_resolved,0,0,16,0,0,,"pack2_text01,pack2_text19"
res_a_004,research,multi,ABC,ok,round1_resolved,0,0,20,0,0,,"pack2_text01,pack2_text09"
res_a_005,research,multi,ABC,ok,round1_resolved,0,0,20,0,0,,"pack2_text01,pack2_text03"
res_a_006,research,tf,A,ok,round1_resolved,0,0,20,0,0,,"pack2_text01,pack2_text10"
res_a_007,research,multi,AB,ok,two_round_a_leaderboard,0,0,23,0,0,,"pack2_text02,pack2_text17"
res_a_008,research,mcq,A,ok,two_round_a_leaderboard,0,0,31,0,0,,"pack2_text02,pack2_text11"
res_a_009,research,multi,ABC,ok,round1_resolved,0,0,20,0,0,,"pack2_text01,pack2_text02"
res_a_010,research,tf,A,ok,review_local_rejudge_a_leaderboard,0,0,24,0,0,,"pack2_text02,pack2_text08"
res_a_011,research,multi,ABC,ok,two_round_a_leaderboard,0,0,23,0,0,,"pack2_text02,pack2_text10"
res_a_012,research,multi,ABC,ok,two_round_a_leaderboard,0,0,27,0,0,,"pack2_text02,pack2_text09"
res_a_013,research,tf,B,ok,round1_resolved,0,0,20,0,0,,"pack2_text03,pack2_text13"
res_a_014,research,multi,ABC,ok,round1_resolved,0,0,20,0,0,,"pack2_text03,pack2_text09"
res_a_015,research,mcq,A,judgement,two_round_a_leaderboard,0,0,27,0,0,,"pack2_text03,pack2_text14"
res_a_016,research,multi,ACD,judgement,two_round_a_leaderboard,0,0,23,0,0,,"pack2_text03,pack2_text20"
res_a_017,research,multi,AD,ok,two_round_a_leaderboard,0,0,22,0,0,,"pack2_text03,pack2_text17"
res_a_018,research,tf,A,ok,round1_resolved,0,0,20,0,0,,"pack2_text04,pack2_text07"
res_a_019,research,multi,A,ok,two_round_a_leaderboard,0,0,34,0,0,,"pack2_text04,pack2_text06"
res_a_020,research,multi,A,ok,review_local_rejudge_a_leaderboard,0,0,23,0,0,,"pack2_text04,pack2_text09"
